iter	RMSE
0	22634.63407
1	22133.04018
2	21702.86708
3	21252.4627
4	20761.70119
5	20327.65271
6	19926.31048
7	19469.24995
8	19074.03159
9	18699.39961
10	18360.4351
11	17956.16435
12	17609.48095
13	17266.29706
14	16923.55115
15	16558.52825
16	16180.50858
17	15816.92421
18	15517.51531
19	15184.42251
20	14877.86303
21	14568.46421
22	14281.76761
23	13998.52791
24	13711.7117
25	13428.70226
26	13191.18432
27	12980.03399
28	12762.61671
29	12566.05904
30	12343.45873
31	12085.64295
32	11860.77673
33	11646.03757
34	11446.47393
35	11199.92428
36	11006.85938
37	10813.02383
38	10605.3681
39	10411.0295
40	10251.75425
41	10095.37537
42	9933.686663
43	9777.595684
44	9607.69511
45	9452.457115
46	9292.473335
47	9121.607425
48	8981.70309
49	8858.279503
50	8731.891639
51	8582.820616
52	8462.479007
53	8334.954466
54	8208.878356
55	8072.396105
56	7962.585437
57	7832.573957
58	7715.709789
59	7605.57308
60	7480.29396
61	7385.562386
62	7291.247548
63	7193.530936
64	7110.925823
65	7019.29074
66	6925.777339
67	6837.637798
68	6739.772835
69	6652.108459
70	6573.067944
71	6486.460732
72	6395.121618
73	6291.973172
74	6203.527778
75	6131.002327
76	6059.639709
77	5984.089702
78	5908.987264
79	5831.505063
80	5759.287462
81	5694.418605
82	5622.264906
83	5566.005424
84	5515.273795
85	5450.830565
86	5389.259543
87	5344.51355
88	5295.251289
89	5242.816794
90	5186.036371
91	5137.27347
92	5075.571006
93	5028.494399
94	4983.085653
95	4942.42835
96	4897.513533
97	4851.425502
98	4806.886411
99	4758.325259
100	4708.20984
101	4665.48029
102	4632.516364
103	4597.375373
104	4554.05251
105	4516.436784
106	4484.896071
107	4436.872228
108	4408.83496
109	4378.698436
110	4350.422337
111	4315.592089
112	4295.037946
113	4259.361653
114	4225.55007
115	4191.401602
116	4161.095833
117	4137.046937
118	4103.741723
119	4075.092559
120	4050.943204
121	4022.816766
122	3992.721635
123	3971.431958
124	3952.455199
125	3931.241746
126	3906.469468
127	3882.267751
128	3865.689581
129	3834.987031
130	3808.389291
131	3790.321353
132	3769.32857
133	3746.954347
134	3722.309489
135	3702.047335
136	3681.675302
137	3652.710427
138	3634.741409
139	3615.185581
140	3595.421458
141	3572.881511
142	3558.89148
143	3539.966301
144	3525.621352
145	3501.25977
146	3485.797311
147	3463.799682
148	3440.693917
149	3419.898615
150	3392.071589
151	3375.758996
152	3357.61992
153	3333.697859
154	3302.602495
155	3285.79699
156	3260.365384
157	3247.236314
158	3221.115049
159	3205.012757
160	3193.109247
161	3180.400512
162	3169.07702
163	3156.680199
164	3143.479236
165	3126.152073
166	3105.265272
167	3085.764277
168	3068.115232
169	3051.995083
170	3029.314178
171	3012.003325
172	3000.307211
173	2983.771937
174	2971.821735
175	2962.105949
176	2950.11489
177	2936.966204
178	2919.572903
179	2905.843666
180	2883.681327
181	2875.417074
182	2853.644941
183	2843.567309
184	2821.101415
185	2803.674046
186	2792.438235
187	2782.586899
188	2772.844026
189	2756.062521
190	2732.227275
191	2717.137215
192	2708.32217
193	2690.255847
194	2670.989251
195	2660.232141
196	2650.890472
197	2643.339685
198	2635.098196
199	2628.636685
200	2615.314647
201	2604.163043
202	2596.623969
203	2588.534697
204	2573.159342
205	2564.355788
206	2552.857334
207	2542.015546
208	2535.24398
209	2528.587229
