id,attendance,catboost_prediction,fold
9190,20916,25615.243893062998,10.0
9191,14277,14856.763114663745,10.0
9192,22531,29125.362942787826,4.0
9193,28564,20071.417405217973,8.0
9194,17199,15209.321014985111,8.0
9195,13085,22093.806149667005,1.0
9196,17444,16591.92961704603,4.0
9197,17564,16822.48013149142,4.0
9198,23607,23341.7488965846,8.0
9205,12040,12484.59161738025,4.0
9204,7921,10982.439374074576,7.0
9203,22454,21602.69757901649,8.0
9200,11896,13010.85922873762,9.0
9201,40266,39233.60314457505,4.0
9199,56512,45448.069643444585,8.0
9202,13054,18868.62085336642,9.0
9206,17043,20549.25568546234,7.0
9207,30561,28676.555059031412,3.0
9213,22651,19228.43635713391,1.0
9216,8388,11027.189223638288,3.0
9214,8567,10248.999896487992,8.0
9212,9082,10644.729380205234,1.0
9215,19307,20968.235251362086,10.0
9210,16742,17491.923674532914,9.0
9209,10560,7192.7656651833495,6.0
9208,19011,21325.710809241536,5.0
9211,9368,15314.08845933868,9.0
9217,14815,11557.482968491244,6.0
9218,8585,11516.009160719834,9.0
9219,43815,42429.52453763764,7.0
9220,37585,33471.220240245384,7.0
9221,12114,13495.148729964425,7.0
9222,17341,17332.22278770984,8.0
9223,14191,14616.663480137922,10.0
9224,5556,7211.264359627763,4.0
9232,16546,13620.578796057503,9.0
9231,8604,9084.394486900903,7.0
9230,50572,36415.945784466036,3.0
9229,13067,12395.154612390594,7.0
9226,7354,8104.857998221458,4.0
9227,11835,10834.650346886348,7.0
9228,9442,9276.346265422726,8.0
9233,11878,11440.003470588006,9.0
9234,17033,22471.18343873922,10.0
9225,9019,10365.817662497007,8.0
9235,20977,28977.21627882296,5.0
9236,6282,8432.6170393704,7.0
9237,10661,13677.932159294458,1.0
9242,17406,18297.658622309715,9.0
9243,44625,43835.384584416184,6.0
9241,34071,31255.328529871003,2.0
9240,10316,12443.89363093122,5.0
9239,11747,15249.447836405128,6.0
9238,3670,6839.368955136155,2.0
9244,14599,9621.304973562364,4.0
9245,8370,9048.18832539319,3.0
9246,8770,10678.389781647418,2.0
9247,15311,14518.868105660182,6.0
9248,7418,9092.978324344822,2.0
9249,24214,27081.579907098414,5.0
9250,17967,16117.70471412892,4.0
9251,10039,12402.138926085725,7.0
9252,21545,18225.42278271959,2.0
9259,28885,33066.56055342305,6.0
9258,21190,24445.71929336633,3.0
9257,39322,37669.65634223173,5.0
9253,12361,15356.016439322304,2.0
9255,10421,12700.494783720194,9.0
9254,40657,39448.26204862996,2.0
9256,15138,14215.851476036902,4.0
9260,11149,14358.66147850353,8.0
9261,11788,9880.288300773635,6.0
9267,6794,7397.62881952946,1.0
9268,23406,29106.128452110424,2.0
9265,15184,11549.770466478067,2.0
9266,12295,12490.322296766242,3.0
9263,15103,15474.655070832625,9.0
9262,11810,11147.535135599814,3.0
9264,6162,6326.1133274168915,10.0
9269,14615,13171.605437034867,6.0
9270,8667,12591.736555795214,5.0
9277,22188,28257.30972738425,4.0
9271,13450,17037.68487646457,10.0
9272,54774,45528.52859084618,6.0
9273,13300,15216.290948879301,9.0
9274,20232,22903.691723126394,10.0
9275,20268,16488.89091812007,7.0
9276,20543,19573.753678114128,1.0
9279,41430,42580.282132239605,5.0
9278,14642,12903.40188920001,5.0
9280,15427,12236.804962300721,7.0
9281,22948,15833.056574721923,7.0
9282,18241,14642.910070668284,5.0
9283,11221,13084.023983926698,6.0
9284,11101,16387.943079714434,9.0
9285,9031,10372.235239785055,9.0
9286,17438,23638.36363018799,10.0
9287,25687,22328.096351356227,5.0
9294,42056,38160.14960826645,1.0
9293,12466,7021.976006612693,8.0
9295,18193,15639.251040073359,6.0
9292,21874,17796.819043844345,5.0
9290,32073,23981.26839655955,2.0
9291,36376,20003.58547583871,4.0
9289,25128,25042.399081316296,1.0
9296,56982,50205.97742227797,2.0
9297,9430,16681.219055510282,3.0
9288,15343,11430.085106404753,4.0
9306,12142,6410.574555529787,1.0
9305,6806,9191.143401261106,2.0
