id,attendance,xgboost_prediction,fold
9190,20916,27839.009765625,2.0
9191,14277,14544.8310546875,5.0
9192,22531,24481.169921875,4.0
9193,28564,26615.08984375,2.0
9194,17199,17602.037109375,2.0
9195,13085,35353.6015625,2.0
9196,17444,16442.357421875,2.0
9197,17564,15642.01953125,4.0
9198,23607,24340.322265625,5.0
9205,12040,13360.150390625,5.0
9204,7921,11779.0556640625,2.0
9203,22454,20547.482421875,5.0
9200,11896,11260.8994140625,5.0
9201,40266,30805.84765625,4.0
9199,56512,45748.86328125,1.0
9202,13054,19959.2109375,1.0
9206,17043,18642.501953125,3.0
9207,30561,28930.65625,2.0
9213,22651,16180.392578125,3.0
9216,8388,11092.2744140625,1.0
9214,8567,11481.849609375,3.0
9212,9082,10917.576171875,4.0
9215,19307,22298.42578125,1.0
9210,16742,14246.84375,3.0
9209,10560,6626.6572265625,2.0
9208,19011,20588.322265625,1.0
9211,9368,19576.185546875,3.0
9217,14815,11382.45703125,2.0
9218,8585,10322.4892578125,3.0
9219,43815,37480.6015625,1.0
9220,37585,28280.158203125,3.0
9221,12114,14913.0703125,4.0
9222,17341,16428.052734375,3.0
9223,14191,15349.658203125,1.0
9224,5556,8389.2392578125,1.0
9232,16546,15644.8359375,2.0
9231,8604,10037.013671875,5.0
9230,50572,31961.724609375,3.0
9229,13067,14393.3310546875,3.0
9226,7354,8472.6796875,5.0
9227,11835,10664.744140625,3.0
9228,9442,13564.8193359375,3.0
9233,11878,11012.865234375,3.0
9234,17033,23539.44921875,4.0
9225,9019,10059.8896484375,1.0
9235,20977,24773.130859375,3.0
9236,6282,16192.6591796875,2.0
9237,10661,16001.154296875,5.0
9242,17406,16512.96875,4.0
9243,44625,47232.6953125,2.0
9241,34071,28285.5390625,5.0
9240,10316,13619.396484375,2.0
9239,11747,16207.912109375,1.0
9238,3670,6943.4677734375,5.0
9244,14599,12436.0576171875,3.0
9245,8370,10656.9453125,1.0
9246,8770,9256.1669921875,1.0
9247,15311,14667.2138671875,5.0
9248,7418,12949.7900390625,1.0
9249,24214,23550.765625,3.0
