id,attendance,lightgbm_prediction,fold
9190,20916,27588.43059568319,2.0
9191,14277,15161.255993494204,5.0
9192,22531,22983.17170382139,4.0
9193,28564,25297.353147291095,2.0
9194,17199,15892.855813630074,2.0
9195,13085,33629.03692444595,2.0
9196,17444,15795.150927507748,2.0
9197,17564,14929.01974161545,4.0
9198,23607,23610.112722439655,5.0
9205,12040,13294.272604220243,5.0
9204,7921,11544.93942824111,2.0
9203,22454,18802.912340694485,5.0
9200,11896,10786.55892620124,5.0
9201,40266,30692.14607725876,4.0
9199,56512,46192.05943321389,1.0
9202,13054,18782.48849542954,1.0
9206,17043,18858.34537960656,3.0
9207,30561,28898.58517138961,2.0
9213,22651,17447.93189814783,3.0
9216,8388,11501.610618775603,1.0
9214,8567,11554.761102709306,3.0
9212,9082,10559.565511747265,4.0
9215,19307,22639.827293771214,1.0
9210,16742,13347.238808411645,3.0
9209,10560,7309.855069893249,2.0
9208,19011,20684.8826128859,1.0
9211,9368,18225.297500050638,3.0
9217,14815,11156.69860868664,2.0
9218,8585,10792.449621626476,3.0
9219,43815,39441.81569824515,1.0
9220,37585,29044.347634087782,3.0
9221,12114,14591.795606527427,4.0
9222,17341,17404.397985997384,3.0
9223,14191,14496.440857019878,1.0
9224,5556,8589.50352672655,1.0
9232,16546,15334.996736649491,2.0
9231,8604,11370.842947182644,5.0
9230,50572,31895.5276286315,3.0
9229,13067,15352.396389522595,3.0
9226,7354,8978.642199449336,5.0
9227,11835,11176.551904480326,3.0
9228,9442,13239.251899677909,3.0
9233,11878,10502.867210877695,3.0
9234,17033,22755.85093946958,4.0
9225,9019,9958.271043922306,1.0
9235,20977,25375.772061152475,3.0
9236,6282,16008.562764156311,2.0
9237,10661,16739.345767706996,5.0
9242,17406,16905.820858583676,4.0
9243,44625,48182.84931061351,2.0
9241,34071,28512.76444243085,5.0
9240,10316,12328.134447068176,2.0
9239,11747,16403.81814117954,1.0
9238,3670,7795.03815170278,5.0
9244,14599,14109.730893672568,3.0
9245,8370,10098.25260612544,1.0
9246,8770,10298.274081162643,1.0
9247,15311,14994.255331012606,5.0
9248,7418,11642.725660721486,1.0
9249,24214,23165.701737450643,3.0
9250,17967,16176.701850950702,2.0
9251,10039,12198.459662464105,5.0
9252,21545,16759.303386311356,4.0
9259,28885,27848.57815290748,4.0
9258,21190,26542.667416393444,5.0
9257,39322,31921.340432351084,3.0
9253,12361,15299.22630065875,2.0
9255,10421,14530.37755168305,1.0
9254,40657,37316.56752528658,5.0
9256,15138,15248.9861754059,2.0
9260,11149,14420.70262348432,1.0
9261,11788,11306.238485766651,3.0
9267,6794,7699.175719672911,4.0
9268,23406,30067.914561416106,5.0
9265,15184,12998.779371719267,5.0
9266,12295,13407.495538619387,5.0
9263,15103,16791.155276681737,4.0
9262,11810,12172.443970989727,4.0
9264,6162,8319.7929725073,2.0
9269,14615,12092.990598465452,2.0
9270,8667,11274.811644423398,4.0
9277,22188,27324.718916603957,1.0
9271,13450,15519.115003810497,3.0
9272,54774,43673.50520990997,1.0
9273,13300,16621.34332495909,2.0
9274,20232,22506.849008333604,1.0
9275,20268,19639.569573483066,1.0
9276,20543,19663.762180276055,4.0
9279,41430,36290.256110712835,4.0
9278,14642,10247.076053393943,5.0
9280,15427,11491.163282442385,4.0
9281,22948,14792.91880156649,4.0
9282,18241,15153.810799295024,2.0
9283,11221,11869.516833246284,1.0
9284,11101,15908.10697989285,2.0
9285,9031,11401.659387566515,2.0
9286,17438,24447.83533309173,5.0
9287,25687,21058.27066878429,4.0
9294,42056,31748.216992284448,4.0
9293,12466,9831.195536444442,2.0
9295,18193,14438.570676649511,5.0
9292,21874,16011.15547747648,4.0
9290,32073,26405.707973214674,1.0
9291,36376,22957.57216502049,2.0
9289,25128,22885.234222282776,5.0
9296,56982,45121.98860820304,5.0
9297,9430,17984.06999703114,4.0
9288,15343,13583.148760692131,2.0
9306,12142,8340.578777885548,3.0
9305,6806,9982.485179997022,3.0
9304,6760,8721.876630598425,3.0
9302,38592,37069.20058931604,4.0
9303,10183,11632.338562591052,3.0
9300,15322,12507.780337470655,3.0
9299,5806,7232.871227915638,1.0
9298,7427,14996.491521760432,2.0
9301,8025,7159.685187793669,2.0
9312,17864,17584.269254439736,1.0
9307,17070,20135.485566005984,5.0
9308,13432,13250.773981987599,2.0
9309,7493,8038.7396579788065,4.0
9310,23005,25282.121677049276,5.0
9311,13524,11582.522731748948,5.0
9313,19304,16304.86177990337,5.0
9315,9005,10188.359319379328,5.0
9314,19223,17265.87843012193,4.0
9324,13655,9452.156668934012,2.0
9322,8027,13298.804238830517,2.0
9321,13225,9980.71419410072,5.0
9320,6618,7787.490945003098,2.0
9323,5545,8123.836823339161,4.0
9318,39278,31093.894931673767,3.0
9317,20425,18957.16646684282,3.0
9316,16040,21458.691411671392,2.0
9319,12875,10543.608042621165,2.0
9330,14621,16195.323352658894,2.0
9325,7278,9838.56947483934,3.0
9326,31684,18980.69626168801,5.0
9327,17000,16395.249689105116,4.0
9328,14289,15717.7064609717,2.0
9329,24920,22907.34517286355,2.0
9331,20873,23013.10568597649,2.0
9332,16961,13711.992956291504,1.0
9333,24032,24594.471248436672,5.0
9341,12616,14765.891803191254,1.0
9339,12454,12023.944900985163,4.0
9342,18205,13087.883760042327,5.0
9338,30353,19882.892839660257,2.0
9340,16089,13708.257242179843,5.0
9336,20144,21533.5043271563,3.0
9334,10569,12724.001804460819,1.0
9337,41487,33627.86640207824,4.0
9335,50195,43141.445600399675,1.0
9343,34236,24601.947380530637,5.0
9344,11355,12364.892780560942,5.0
9345,38611,35648.880177103296,4.0
9346,15410,13894.696927134428,3.0
9347,14392,12160.845638467836,3.0
9348,18609,17690.267776933597,4.0
9349,10387,10928.42927689782,2.0
9351,17261,14538.503105421463,3.0
9350,10145,13496.96640257409,1.0
9360,18864,19571.36105711198,2.0
9359,17826,14343.964951117265,2.0
9358,11291,9532.7308681689,5.0
9357,11992,10275.76707848649,1.0
9352,34417,38023.18316666048,4.0
9355,11623,7957.106257916197,1.0
9354,11306,13419.297473822644,3.0
9353,18533,21970.48056110788,3.0
9356,12115,10347.93537572737,2.0
9365,16177,16497.534750915405,1.0
9366,23386,23720.880087801186,3.0
9367,17738,13495.897863251055,4.0
9363,14227,11200.711590660827,5.0
9362,14052,14416.652882803673,5.0
9361,9076,12370.437343528727,1.0
9364,40466,33834.06335560102,1.0
9368,17556,16057.70395874237,4.0
9369,8886,12366.029821289425,4.0
9378,27843,23023.01777472892,2.0
9377,9513,11493.52465073291,4.0
9375,9249,11130.810591284386,1.0
9374,12384,8685.596498396271,4.0
9376,13979,12642.79503604716,4.0
9372,4873,6752.132088525396,1.0
9371,9457,11691.903690533885,4.0
9370,11433,12486.17710720729,4.0
9373,21041,22308.203735046198,2.0
9379,22769,33594.17563925397,3.0
9380,9299,11679.127961300666,5.0
9381,21382,21803.27126177135,4.0
9382,13463,12622.789060967523,2.0
9383,11471,11218.010105640464,3.0
9384,20463,21559.784365751304,3.0
9385,26841,20253.74178182992,1.0
9386,9142,15684.195671474596,3.0
9387,35059,33856.89403819011,2.0
9392,9308,12513.374199209626,1.0
9394,12519,12667.481211154873,2.0
9391,39123,34181.14467937129,2.0
9393,19036,17538.59675526659,2.0
9389,25384,21127.626185844532,1.0
9390,20800,20657.858011601074,5.0
9388,8440,10482.388143024627,1.0
9395,15482,14077.758096593387,1.0
9396,10150,9888.82468285417,4.0
9402,10857,13706.207266195082,1.0
9401,10265,11920.14954141116,4.0
9400,11218,11414.744263130577,5.0
9403,17544,19747.262978155446,2.0
9398,21665,25512.032779460384,5.0
9397,48378,46546.6363741498,5.0
9399,12654,11696.701631380802,5.0
9404,17398,15916.987561161399,3.0
9405,40422,34093.88170892887,2.0
9406,24136,22115.860046962513,1.0
9407,12029,16380.719423045091,1.0
9408,25435,24864.81763683877,4.0
9409,16492,16057.228881076058,2.0
9410,10609,11413.808382649058,3.0
9411,8223,8520.807157301639,4.0
9412,15186,18532.44754778765,2.0
9413,15462,13253.838795367341,5.0
9414,10807,11322.406364571103,1.0
9415,5237,7858.50272808092,5.0
9416,48952,45693.751507043635,3.0
9417,10282,16517.676137070135,2.0
9418,10222,10538.424225569968,3.0
9419,35603,29691.025628951527,2.0
9420,21066,25358.870855381483,1.0
9421,10840,11980.084370220466,1.0
9422,7013,10628.841257883552,1.0
9423,12181,13208.467586234963,2.0
9430,12843,16615.002822302537,1.0
9429,16281,14508.738510523513,3.0
9428,9888,11843.7181354346,4.0
9427,11490,10078.84786095558,1.0
9426,36272,27652.702290132016,2.0
9425,14383,11429.735430956754,4.0
9424,15315,16316.70437696384,1.0
9431,17541,21385.678363843526,2.0
9432,11689,13529.244411603513,3.0
9433,50134,50306.65916823491,1.0
9434,12863,12623.988546645245,5.0
9435,24333,28682.98704107619,5.0
9436,9747,13400.140451348409,4.0
9437,13244,14368.613543784939,1.0
9438,8491,10404.51132069794,1.0
9439,16445,11134.982278944779,3.0
9441,7897,11122.598282411698,1.0
9440,36161,27709.180511549854,2.0
9442,10074,9791.61609582265,5.0
9443,10505,15933.144980543684,4.0
9444,9852,12594.856604160099,4.0
9445,38203,32317.65441732775,5.0
9446,16162,18962.5940034919,4.0
9447,18534,19187.743289045942,5.0
9448,16162,14307.442538894029,4.0
9450,28690,20749.224902712398,3.0
9449,19170,17628.963030887127,4.0
9457,7873,9711.008952162481,4.0
9456,5566,7333.575101094148,4.0
9455,9079,10338.777447040593,5.0
9451,14663,18565.60983669607,1.0
9453,11286,9639.377177610495,1.0
9452,52582,46814.940301639675,3.0
9458,11505,11975.283451745974,2.0
9454,23251,25658.6798896101,1.0
9459,19273,18464.132442372258,4.0
9465,32109,28132.182107446497,4.0
9466,8182,10445.544130574237,4.0
9463,9156,10103.569073225784,5.0
9464,14406,12099.501549197354,2.0
9461,12871,15615.006976306648,4.0
9460,12094,27393.12033476387,3.0
9462,20258,22311.963255366514,3.0
9467,40393,34151.21310002373,4.0
9468,16950,13310.550108681327,2.0
9475,8737,14299.17546671328,4.0
9477,15841,18022.45589821805,1.0
9476,20187,11198.672707516936,2.0
9474,13785,8004.551354509328,4.0
9472,23553,25947.48806315306,4.0
9471,12049,13339.330100292615,2.0
9470,57781,45612.40243193337,1.0
9469,12178,15320.507421922925,3.0
9473,12172,17091.673446976496,1.0
9483,37711,30537.13599079133,3.0
9485,16768,18425.881877163953,3.0
9484,10707,14318.422987759468,2.0
9482,15069,12549.488269635352,1.0
9486,11214,13391.173755238193,3.0
9480,17518,24733.267957878663,2.0
9479,41528,36044.03591265335,4.0
9478,9285,29860.977054123967,2.0
9481,24895,18601.749953065002,1.0
9493,9278,12815.894709491184,2.0
